"Fecha & Hora","PM10 (ug/m3)","SO2  (ug/m3)","NO2  (ug/m3)","CO  (ug/m3)","O3  (ug/m3)","Vel Viento  (m/s)","Dir Viento (Grados)","Temperatura (C°)","Humedad (%)","Radiacion Solar (Watt/M2)","Lluvia (mm)"
5/6/10 8:00 AM,,,,,,0.3,284.2,,,,0
5/6/10 9:00 AM,,,,,,0.2,300.6,24.8,77.0,,0
5/6/10 10:00 AM,,,,,5.24,0.2,169.3,24.6,78.2,,0
5/6/10 11:00 AM,,,,,6.02,0.0,276.9,24.0,81.9,,0
5/7/10 12:00 PM,,,,,4.6,0.1,355.2,23.4,84.3,,0
5/7/10 1:00 AM,,,,,5.86,0.1,345.9,22.8,86.6,,0
5/7/10 2:00 AM,,,,,3.7,0.0,273.2,22.4,88.6,,0
5/7/10 3:00 AM,,,,,3.7,0.2,5.0,22.2,89.1,,0
5/7/10 4:00 AM,,,,,3.34,0.1,264.1,21.7,89.2,,0
5/7/10 5:00 AM,,,,,2.5,0.1,345.9,21.5,90.0,,0
5/7/10 6:00 AM,,,,,2.37,0.1,139.7,21.4,90.4,,0
5/7/10 7:00 AM,,,,,2.11,0.0,210.5,22.0,89.5,,0
5/7/10 8:00 AM,,,,,2.93,0.2,72.7,23.8,81.3,,0
5/7/10 9:00 AM,,,,,4.61,0.8,121.1,25.3,73.8,,0
5/7/10 10:00 AM,,,,,4.11,0.8,117.1,26.7,67.9,,0
5/7/10 11:00 AM,,,,,18.2,0.7,156.0,28.0,62.6,,0
5/7/10 12:00 PM,,,,,61.25,0.9,111.7,28.7,60.6,,0
5/7/10 1:00 AM,,,,,80.76,0.7,123.0,29.4,58.0,,0
5/7/10 2:00 AM,,,,,84.87,0.8,47.1,30.0,57.4,,0
5/7/10 3:00 AM,,,,,93.5,1.3,26.7,29.7,57.7,,0
5/7/10 4:00 AM,,,,,117.45,2.3,249.4,29.7,55.0,,0
5/7/10 5:00 AM,,,,,86.37,2.2,258.4,30.0,53.7,,0
5/7/10 6:00 AM,,,,,21.91,1.3,252.4,29.1,54.6,,0
5/7/10 7:00 AM,,,,,22.68,0.4,239.5,28.5,55.8,,0
5/7/10 8:00 AM,,,,,16.56,0.2,82.1,28.1,57.6,,0
5/7/10 9:00 AM,,,,,8.57,0.8,153.7,27.6,62.0,,0
5/7/10 10:00 AM,,,,,6.14,0.3,198.0,27.1,64.8,,0
5/7/10 11:00 AM,,,,,3.95,1.1,119.1,26.4,68.9,,0
5/8/10 12:00 PM,,,,,6.45,0.5,162.1,25.7,73.7,,0
5/8/10 1:00 AM,,,,,5.76,0.2,312.9,25.2,76.4,,0
5/8/10 2:00 AM,,,,,2.26,0.2,44.6,24.2,84.2,,0
5/8/10 3:00 AM,,,,,1.72,0.6,241.2,23.8,85.3,,0
5/8/10 4:00 AM,,,,,3.03,0.2,234.0,23.9,83.5,,0
5/8/10 5:00 AM,,,,,2.37,0.6,28.9,23.8,83.2,,0
5/8/10 6:00 AM,,,,,1.02,0.2,58.2,23.1,88.8,,0
5/8/10 7:00 AM,,,,,1.25,0.1,323.8,23.0,88.3,,0
5/8/10 8:00 AM,,,,,2.51,0.8,34.1,23.9,83.9,,0
5/8/10 9:00 AM,,,,,3.44,1.2,2.0,24.8,78.1,,0
5/8/10 10:00 AM,,,,,4.9,1.5,33.9,26.8,67.4,,0
5/8/10 11:00 AM,,,,,9.36,1.4,42.0,27.5,66.3,,0
5/8/10 12:00 PM,,,,,22.58,0.7,54.3,28.1,65.0,,0
5/8/10 1:00 AM,,,,,47.86,0.6,38.5,28.7,63.1,,0
5/8/10 2:00 AM,,,,,65.6,1.3,48.6,28.8,63.4,,0
5/8/10 3:00 AM,,,,,96.85,0.5,4.3,29.6,60.3,,0
5/8/10 4:00 AM,,,,,96.64,0.6,357.5,30.6,58.4,,0
5/8/10 5:00 AM,,,,,114.96,1.0,257.7,30.5,55.9,,0
5/8/10 6:00 AM,,,,,128.27,1.7,233.3,29.3,54.9,,0
5/8/10 7:00 AM,,,,,90.91,0.5,267.3,28.1,59.7,,0
5/8/10 8:00 AM,,,,,14.95,0.3,241.8,27.2,65.5,,0
5/8/10 9:00 AM,,,,,12.34,0.1,30.3,26.8,65.7,,0
5/8/10 10:00 AM,,,,,5.39,0.6,169.6,26.3,70.0,,0
5/8/10 11:00 AM,,,,,5.03,0.2,36.6,25.4,74.8,,0
5/9/10 12:00 PM,,,,,5.72,0.1,243.1,25.1,75.4,,0
5/9/10 1:00 AM,,,,,3.85,0.4,56.2,25.0,77.5,,0
5/9/10 2:00 AM,,,,,5.16,0.2,38.5,24.3,80.1,,0
5/9/10 3:00 AM,,,,,4.5,0.6,161.5,24.5,79.5,,0
5/9/10 4:00 AM,,,,,4.19,1.3,197.8,23.6,87.2,,0
5/9/10 5:00 AM,,,,,5.33,0.9,19.0,23.5,86.8,,0
5/9/10 6:00 AM,,,,,5.99,0.6,41.2,22.9,89.8,,0
5/9/10 7:00 AM,,,,,4.25,0.2,319.7,23.0,89.5,,0
5/9/10 8:00 AM,,,,,4.03,0.3,176.8,23.9,84.4,,0
5/9/10 9:00 AM,,,,,4.54,0.4,56.2,26.0,73.4,,0
5/9/10 10:00 AM,,,,,7.74,1.2,132.4,27.2,67.7,,0
5/9/10 11:00 AM,,,,,18.19,1.4,148.9,27.4,66.5,,0
5/9/10 12:00 PM,,,,,32.8,0.8,204.4,28.7,61.3,,0
5/9/10 1:00 AM,,,,,37.15,1.5,141.3,30.1,56.9,,0
5/9/10 2:00 AM,,,,,72.11,1.0,141.6,30.8,55.7,,0
